epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7711,1.14482,1.62863,1.10134,0.48356,0.50949,0.55236,0.41302,0.75099,0.78236,0.92718,0.0033033,0.0033033,0.0033033
2,89.6767,0.86212,0.79915,0.94339,0.6834,0.69323,0.73304,0.54625,0.71099,0.76044,0.89818,0.00657093,0.00657093,0.00657093
3,134.116,0.84258,0.7252,0.92991,0.68582,0.72231,0.75635,0.51926,0.92122,0.78621,0.97158,0.00977256,0.00977256,0.00977256
4,178.042,0.80293,0.65799,0.91755,0.79102,0.7893,0.85028,0.65281,0.71222,0.65002,0.89802,0.009703,0.009703,0.009703
5,222.154,0.75746,0.60586,0.90137,0.78789,0.81179,0.85694,0.66663,0.64192,0.64561,0.87893,0.009604,0.009604,0.009604
6,266.348,0.7264,0.57388,0.89313,0.78756,0.8241,0.86644,0.67695,0.67174,0.55356,0.88432,0.009505,0.009505,0.009505
7,310.932,0.70494,0.55039,0.88591,0.79959,0.82503,0.87062,0.6846,0.66124,0.56149,0.88159,0.009406,0.009406,0.009406
8,355.029,0.68803,0.53704,0.88277,0.82615,0.82615,0.88884,0.71413,0.613,0.47708,0.86546,0.009307,0.009307,0.009307
9,399.168,0.6797,0.53251,0.87983,0.81982,0.84144,0.88374,0.71068,0.59864,0.46844,0.86228,0.009208,0.009208,0.009208
10,443.125,0.66642,0.51348,0.87683,0.82184,0.85545,0.89204,0.71709,0.58345,0.45099,0.85901,0.009109,0.009109,0.009109
11,487.062,0.658,0.50333,0.87511,0.85354,0.84043,0.89768,0.72858,0.5799,0.44501,0.855,0.00901,0.00901,0.00901
12,552.772,0.65132,0.49974,0.87289,0.83508,0.85548,0.8948,0.7234,0.58272,0.43959,0.85605,0.008911,0.008911,0.008911
13,596.754,0.64508,0.49491,0.87199,0.85224,0.84993,0.90286,0.73068,0.60002,0.43718,0.86075,0.008812,0.008812,0.008812
14,640.738,0.63684,0.48181,0.8681,0.84411,0.84933,0.90108,0.73388,0.57021,0.43748,0.85449,0.008713,0.008713,0.008713
15,684.801,0.63153,0.47821,0.86711,0.85738,0.84753,0.90778,0.73846,0.56931,0.41926,0.85388,0.008614,0.008614,0.008614
16,729.136,0.62833,0.4703,0.86656,0.86037,0.84336,0.905,0.73891,0.5674,0.41948,0.85196,0.008515,0.008515,0.008515
17,773.461,0.62381,0.47029,0.86535,0.84547,0.86902,0.90696,0.7416,0.56049,0.41446,0.85043,0.008416,0.008416,0.008416
18,817.746,0.61874,0.46559,0.8641,0.85966,0.85885,0.91089,0.74786,0.55855,0.41377,0.8484,0.008317,0.008317,0.008317
19,861.855,0.61553,0.46056,0.86381,0.85737,0.85246,0.90877,0.74403,0.55263,0.41095,0.84595,0.008218,0.008218,0.008218
20,905.815,0.61167,0.45652,0.8612,0.85127,0.86127,0.90797,0.74736,0.55517,0.4065,0.84803,0.008119,0.008119,0.008119
21,949.793,0.6089,0.45439,0.86233,0.85274,0.84292,0.90174,0.73369,0.57137,0.41953,0.85258,0.00802,0.00802,0.00802
22,993.631,0.60605,0.446,0.86087,0.87175,0.85285,0.91256,0.75026,0.54614,0.40217,0.84654,0.007921,0.007921,0.007921
23,1037.69,0.59978,0.44129,0.85975,0.85893,0.85733,0.90944,0.75152,0.54265,0.39758,0.84345,0.007822,0.007822,0.007822
24,1081.81,0.59945,0.43948,0.85962,0.86642,0.85843,0.91215,0.75171,0.54781,0.39605,0.84636,0.007723,0.007723,0.007723
25,1126.04,0.59692,0.43998,0.85911,0.86953,0.85774,0.91712,0.75799,0.54048,0.39106,0.84392,0.007624,0.007624,0.007624
26,1170.19,0.59705,0.43266,0.85948,0.87359,0.85352,0.91389,0.7583,0.54066,0.38795,0.84361,0.007525,0.007525,0.007525
27,1214.26,0.58835,0.43031,0.85561,0.85374,0.86663,0.91155,0.75409,0.54058,0.39423,0.84219,0.007426,0.007426,0.007426
28,1258.47,0.58928,0.43128,0.85601,0.85689,0.87683,0.91453,0.75654,0.5396,0.38732,0.84438,0.007327,0.007327,0.007327
29,1303.56,0.58531,0.42642,0.85639,0.85499,0.86422,0.91502,0.7604,0.53488,0.38316,0.84182,0.007228,0.007228,0.007228
30,1347.88,0.5883,0.42562,0.85598,0.8703,0.85905,0.91523,0.76064,0.53733,0.38665,0.84084,0.007129,0.007129,0.007129
31,1392.99,0.58297,0.4199,0.85368,0.86705,0.85752,0.91638,0.75956,0.5345,0.38903,0.8409,0.00703,0.00703,0.00703
32,1437.05,0.58121,0.41777,0.85432,0.87268,0.85486,0.91675,0.76039,0.53563,0.37869,0.84266,0.006931,0.006931,0.006931
33,1481.1,0.57783,0.41599,0.85445,0.85981,0.86981,0.91633,0.76009,0.53163,0.38789,0.84095,0.006832,0.006832,0.006832
34,1524.91,0.5758,0.41149,0.85265,0.85617,0.87562,0.91804,0.7633,0.53088,0.37413,0.8406,0.006733,0.006733,0.006733
35,1568.83,0.5755,0.41069,0.85221,0.86329,0.87015,0.91608,0.76545,0.52719,0.37311,0.83815,0.006634,0.006634,0.006634
36,1631.74,0.57361,0.40918,0.85166,0.85375,0.88057,0.92037,0.76827,0.52756,0.37635,0.83968,0.006535,0.006535,0.006535
37,1682.21,0.57135,0.41098,0.85192,0.86649,0.87274,0.9218,0.76984,0.52355,0.36864,0.83801,0.006436,0.006436,0.006436
38,1726.2,0.57064,0.40672,0.85283,0.87335,0.86788,0.9189,0.76877,0.52576,0.37075,0.83867,0.006337,0.006337,0.006337
39,1769.98,0.56864,0.40374,0.85074,0.87714,0.87303,0.92333,0.77144,0.52446,0.36553,0.83815,0.006238,0.006238,0.006238
40,1814.06,0.56565,0.39863,0.85026,0.87651,0.86873,0.9231,0.77373,0.51977,0.36563,0.83954,0.006139,0.006139,0.006139
41,1858.46,0.56626,0.40446,0.85128,0.8705,0.8682,0.92058,0.76986,0.51799,0.36958,0.8375,0.00604,0.00604,0.00604
42,1902.37,0.5622,0.39573,0.84908,0.86901,0.8631,0.91634,0.76741,0.52301,0.37352,0.83936,0.005941,0.005941,0.005941
43,1946.39,0.56144,0.39316,0.84969,0.86923,0.86509,0.91899,0.76611,0.52986,0.37319,0.84403,0.005842,0.005842,0.005842
44,1990.36,0.56024,0.39535,0.85008,0.86906,0.8709,0.91809,0.771,0.51711,0.364,0.83833,0.005743,0.005743,0.005743
45,2034.44,0.55927,0.39091,0.84832,0.86704,0.87481,0.92303,0.77323,0.51726,0.36007,0.83707,0.005644,0.005644,0.005644
46,2078.18,0.55728,0.39015,0.84828,0.86677,0.87659,0.92202,0.77304,0.51696,0.36438,0.83681,0.005545,0.005545,0.005545
47,2121.91,0.55218,0.38534,0.84718,0.87215,0.87211,0.9224,0.77372,0.5181,0.36022,0.83903,0.005446,0.005446,0.005446
48,2166.04,0.5536,0.38221,0.84711,0.87172,0.868,0.92104,0.77429,0.5208,0.36392,0.83766,0.005347,0.005347,0.005347
49,2210.42,0.55297,0.38421,0.84645,0.8654,0.87653,0.92141,0.77603,0.51163,0.35689,0.83361,0.005248,0.005248,0.005248
