epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.337,1.03961,2.1767,1.49444,0.51102,0.50905,0.53102,0.35464,1.1337,1.33592,1.62051,0.00333005,0.00333005,0.00333005
2,640.492,0.91647,1.404,1.3644,0.55674,0.53262,0.56101,0.38109,1.12875,1.35353,1.62358,0.0066304,0.0066304,0.0066304
3,961.447,0.96507,1.43055,1.39544,0.47731,0.54375,0.53483,0.34233,1.21605,1.41229,1.73475,0.00989775,0.00989775,0.00989775
4,1279.84,0.96044,1.38889,1.38363,0.63953,0.61064,0.66229,0.46145,1.09509,1.08765,1.57594,0.0098515,0.0098515,0.0098515
5,1596,0.90005,1.26648,1.34088,0.61727,0.70003,0.72267,0.5296,1.02931,1.00046,1.49916,0.009802,0.009802,0.009802
6,1916.56,0.87455,1.20209,1.32143,0.69769,0.68364,0.76209,0.5655,0.97415,0.90067,1.44133,0.0097525,0.0097525,0.0097525
7,2233.33,0.85181,1.15504,1.30367,0.7414,0.71631,0.79391,0.59929,0.94963,0.85284,1.41845,0.009703,0.009703,0.009703
8,2551.94,0.8376,1.12603,1.29583,0.73565,0.74575,0.81326,0.6193,0.93024,0.80234,1.38763,0.0096535,0.0096535,0.0096535
9,2871.82,0.8245,1.09393,1.28373,0.73736,0.76075,0.81488,0.62994,0.89817,0.77331,1.35881,0.009604,0.009604,0.009604
10,3187.67,0.81652,1.07343,1.27926,0.74106,0.78305,0.82688,0.63975,0.9064,0.76468,1.3661,0.0095545,0.0095545,0.0095545
11,3506.9,0.81323,1.05904,1.27487,0.73709,0.77102,0.82559,0.64032,0.88473,0.75232,1.34112,0.009505,0.009505,0.009505
12,3823.45,0.8011,1.04101,1.26718,0.75185,0.77876,0.83738,0.65223,0.87661,0.73612,1.33219,0.0094555,0.0094555,0.0094555
13,4139.98,0.79976,1.02753,1.26632,0.75975,0.79381,0.84266,0.65658,0.8719,0.72138,1.32482,0.009406,0.009406,0.009406
14,4459.89,0.7958,1.02133,1.26249,0.7581,0.79335,0.84454,0.66051,0.87234,0.71093,1.32488,0.0093565,0.0093565,0.0093565
15,4776.89,0.79213,1.01334,1.26155,0.78271,0.78486,0.84831,0.6645,0.86763,0.70183,1.32237,0.009307,0.009307,0.009307
16,5098.76,0.78703,1.00145,1.25685,0.7808,0.7889,0.84978,0.66677,0.86201,0.69962,1.3206,0.0092575,0.0092575,0.0092575
17,5416.12,0.78578,0.99471,1.25633,0.78656,0.78078,0.85142,0.66919,0.86223,0.69513,1.32085,0.009208,0.009208,0.009208
18,5732.44,0.78121,0.98483,1.25288,0.78228,0.78746,0.85361,0.67092,0.85934,0.69192,1.31802,0.0091585,0.0091585,0.0091585
19,6052.29,0.77875,0.97919,1.25183,0.78168,0.78961,0.85445,0.67277,0.85626,0.68967,1.31497,0.009109,0.009109,0.009109
20,6368.74,0.77737,0.97215,1.24918,0.77585,0.79306,0.85504,0.67341,0.85521,0.68816,1.31366,0.0090595,0.0090595,0.0090595
21,6684.87,0.77389,0.96533,1.24825,0.77747,0.79316,0.85603,0.67378,0.85442,0.68833,1.31315,0.00901,0.00901,0.00901
22,7005.82,0.77366,0.96468,1.24649,0.797,0.77873,0.85657,0.67513,0.85339,0.68611,1.31179,0.0089605,0.0089605,0.0089605
23,7322.49,0.77027,0.95766,1.24425,0.79968,0.77909,0.85651,0.67634,0.85295,0.68635,1.31067,0.008911,0.008911,0.008911
24,7642.59,0.77203,0.95716,1.24299,0.79999,0.77748,0.85638,0.67564,0.85244,0.68538,1.31001,0.0088615,0.0088615,0.0088615
25,7958.56,0.77056,0.94765,1.24255,0.80039,0.77989,0.85797,0.67658,0.85268,0.68359,1.31013,0.008812,0.008812,0.008812
26,8274.98,0.76325,0.94261,1.23872,0.79908,0.77844,0.85786,0.67691,0.85093,0.68035,1.30801,0.0087625,0.0087625,0.0087625
27,8594.87,0.76357,0.94242,1.23979,0.79804,0.77841,0.85844,0.67758,0.84987,0.67904,1.30661,0.008713,0.008713,0.008713
28,8911.56,0.76494,0.93726,1.2393,0.79876,0.77342,0.85934,0.6794,0.84808,0.67731,1.30458,0.0086635,0.0086635,0.0086635
29,9228.15,0.76205,0.9313,1.23639,0.80548,0.764,0.86035,0.68066,0.84603,0.67382,1.30231,0.008614,0.008614,0.008614
30,9547.83,0.75882,0.92819,1.23515,0.80959,0.76814,0.86116,0.68202,0.84448,0.6716,1.30077,0.0085645,0.0085645,0.0085645
31,9863.85,0.7596,0.92426,1.23454,0.81009,0.76365,0.86378,0.68285,0.84309,0.6692,1.29851,0.008515,0.008515,0.008515
32,10183.7,0.75878,0.92217,1.23442,0.8224,0.76356,0.86492,0.68472,0.84265,0.66708,1.29792,0.0084655,0.0084655,0.0084655
33,10525.6,0.75928,0.92072,1.23438,0.77588,0.81121,0.8659,0.68549,0.84248,0.66505,1.29748,0.008416,0.008416,0.008416
34,10850.3,0.75592,0.9128,1.23288,0.77437,0.80991,0.86732,0.68605,0.84123,0.66203,1.29548,0.0083665,0.0083665,0.0083665
35,11170.1,0.75634,0.91565,1.23283,0.80313,0.77892,0.8677,0.68694,0.84047,0.66124,1.2947,0.008317,0.008317,0.008317
36,11489,0.75429,0.91023,1.23019,0.78604,0.80363,0.86873,0.68717,0.83839,0.6599,1.29255,0.0082675,0.0082675,0.0082675
37,11805.7,0.75377,0.90848,1.23039,0.78978,0.79975,0.86964,0.68781,0.83566,0.65605,1.28956,0.008218,0.008218,0.008218
38,12122.2,0.75499,0.90725,1.22995,0.80095,0.79701,0.87038,0.68673,0.83492,0.65409,1.28918,0.0081685,0.0081685,0.0081685
39,12440.1,0.75053,0.90432,1.2304,0.79654,0.80254,0.87141,0.68927,0.83518,0.65263,1.28944,0.008119,0.008119,0.008119
40,12756.9,0.75157,0.89915,1.22725,0.79859,0.80535,0.87228,0.68928,0.83519,0.65098,1.28873,0.0080695,0.0080695,0.0080695
41,13074.9,0.7488,0.90086,1.22687,0.78998,0.80923,0.87323,0.69048,0.83407,0.64901,1.28699,0.00802,0.00802,0.00802
42,13393.6,0.74603,0.89897,1.22606,0.80106,0.80408,0.87324,0.69171,0.83294,0.64751,1.28583,0.0079705,0.0079705,0.0079705
43,13710.9,0.74824,0.89543,1.22564,0.80635,0.7982,0.87329,0.69243,0.83092,0.64502,1.28349,0.007921,0.007921,0.007921
44,14030.5,0.74551,0.88963,1.22436,0.80929,0.7958,0.87473,0.69364,0.82999,0.64327,1.28252,0.0078715,0.0078715,0.0078715
45,14349.1,0.74758,0.89069,1.22463,0.80518,0.80242,0.87508,0.69422,0.82847,0.64149,1.28093,0.007822,0.007822,0.007822
46,14667.7,0.74467,0.88704,1.22306,0.80886,0.79862,0.87599,0.69545,0.82732,0.6399,1.27993,0.0077725,0.0077725,0.0077725
47,14985.1,0.74645,0.88869,1.22435,0.81463,0.79836,0.87763,0.6967,0.82606,0.63833,1.27926,0.007723,0.007723,0.007723
48,15303.9,0.74564,0.8846,1.2246,0.81872,0.79714,0.87861,0.69767,0.82485,0.63708,1.2785,0.0076735,0.0076735,0.0076735
49,15621.9,0.74051,0.87687,1.22166,0.81664,0.79932,0.87899,0.69739,0.82406,0.6358,1.27818,0.007624,0.007624,0.007624
50,15939.1,0.73865,0.87523,1.21863,0.81515,0.79928,0.88004,0.6991,0.82299,0.6348,1.27674,0.0075745,0.0075745,0.0075745
51,16257.8,0.74079,0.87662,1.22024,0.81093,0.8046,0.88069,0.70005,0.82182,0.63294,1.27545,0.007525,0.007525,0.007525
52,16577.7,0.74079,0.86944,1.22035,0.81625,0.79919,0.88087,0.70053,0.82155,0.63031,1.27469,0.0074755,0.0074755,0.0074755
53,16896,0.74024,0.87063,1.21837,0.81366,0.80395,0.88175,0.70092,0.82062,0.62929,1.27368,0.007426,0.007426,0.007426
54,17221.7,0.73539,0.86473,1.21662,0.81364,0.80388,0.88133,0.69992,0.82007,0.62792,1.27263,0.0073765,0.0073765,0.0073765
55,17540.7,0.73614,0.8671,1.21841,0.81157,0.809,0.88328,0.70182,0.81983,0.62603,1.27123,0.007327,0.007327,0.007327
56,17857.6,0.73908,0.87072,1.21925,0.80586,0.81464,0.88405,0.70324,0.8187,0.62422,1.26973,0.0072775,0.0072775,0.0072775
57,18174.1,0.73744,0.86528,1.21707,0.80872,0.81096,0.88424,0.70268,0.8183,0.6229,1.26944,0.007228,0.007228,0.007228
58,18492.9,0.73798,0.86567,1.2169,0.81874,0.81005,0.88523,0.70387,0.81769,0.62254,1.26872,0.0071785,0.0071785,0.0071785
59,18809.4,0.73541,0.86193,1.21693,0.82709,0.80257,0.88535,0.7041,0.81665,0.6198,1.26721,0.007129,0.007129,0.007129
60,19128.5,0.73176,0.85855,1.21326,0.8219,0.80417,0.88623,0.70323,0.81528,0.61869,1.26617,0.0070795,0.0070795,0.0070795
61,19443.7,0.73301,0.85718,1.2154,0.81715,0.8067,0.887,0.70417,0.8144,0.61694,1.26569,0.00703,0.00703,0.00703
62,19760.3,0.73382,0.85719,1.21419,0.81773,0.80803,0.88707,0.70459,0.81353,0.61569,1.26464,0.0069805,0.0069805,0.0069805
63,20080.7,0.73113,0.85593,1.21389,0.81668,0.80995,0.88684,0.70531,0.81261,0.61359,1.26379,0.006931,0.006931,0.006931
64,20397,0.73044,0.85487,1.21229,0.82579,0.80632,0.88804,0.70604,0.81213,0.61225,1.26339,0.0068815,0.0068815,0.0068815
65,20712.6,0.72778,0.84966,1.2117,0.82221,0.81084,0.88836,0.70683,0.81068,0.61037,1.26202,0.006832,0.006832,0.006832
66,21032.1,0.7276,0.84706,1.21159,0.83399,0.79716,0.88723,0.70566,0.80883,0.60952,1.25977,0.0067825,0.0067825,0.0067825
67,21348.4,0.7276,0.84671,1.21061,0.83361,0.80153,0.88748,0.70604,0.80886,0.60803,1.25944,0.006733,0.006733,0.006733
68,21667.5,0.72884,0.84179,1.21034,0.83226,0.80572,0.88882,0.707,0.80782,0.60644,1.25779,0.0066835,0.0066835,0.0066835
69,21984.2,0.7232,0.84461,1.20783,0.83459,0.80732,0.88946,0.7068,0.80874,0.60574,1.25869,0.006634,0.006634,0.006634
70,22299.4,0.72379,0.84152,1.20645,0.82476,0.81625,0.88965,0.70643,0.80727,0.60482,1.25801,0.0065845,0.0065845,0.0065845
71,22618.8,0.72469,0.83962,1.20771,0.8224,0.81643,0.89013,0.70734,0.80687,0.60417,1.2576,0.006535,0.006535,0.006535
72,22935.3,0.72451,0.83423,1.20711,0.82555,0.80907,0.89043,0.70875,0.80657,0.60248,1.25754,0.0064855,0.0064855,0.0064855
73,23251.6,0.72403,0.83761,1.20741,0.8271,0.80668,0.89094,0.71007,0.80572,0.60078,1.25732,0.006436,0.006436,0.006436
74,23570.7,0.72384,0.83099,1.20766,0.82071,0.80869,0.89128,0.71123,0.8061,0.59942,1.25742,0.0063865,0.0063865,0.0063865
75,23886,0.72114,0.83154,1.20632,0.82512,0.80293,0.89153,0.71122,0.80649,0.5976,1.25767,0.006337,0.006337,0.006337
76,24201.7,0.72321,0.83058,1.20755,0.80634,0.82325,0.89271,0.71166,0.80604,0.59538,1.25744,0.0062875,0.0062875,0.0062875
77,24521.1,0.72115,0.83021,1.20509,0.84599,0.794,0.89276,0.71146,0.80503,0.59463,1.25699,0.006238,0.006238,0.006238
78,24836.8,0.72005,0.82696,1.20487,0.84332,0.79399,0.89235,0.71225,0.80472,0.59538,1.25699,0.0061885,0.0061885,0.0061885
79,25155.3,0.72318,0.8243,1.20554,0.84403,0.79336,0.89204,0.71256,0.80434,0.59562,1.25737,0.006139,0.006139,0.006139
80,25471.9,0.71706,0.82362,1.20147,0.84576,0.79193,0.89166,0.71073,0.80348,0.59608,1.25674,0.0060895,0.0060895,0.0060895
81,25787.6,0.71498,0.81795,1.20085,0.81584,0.82512,0.89225,0.7122,0.80298,0.59546,1.25614,0.00604,0.00604,0.00604
82,26107.3,0.71846,0.82143,1.20255,0.81855,0.82198,0.89337,0.71351,0.8031,0.59434,1.25595,0.0059905,0.0059905,0.0059905
83,26423.5,0.71862,0.81953,1.20455,0.8151,0.82308,0.89334,0.71458,0.80236,0.59379,1.25531,0.005941,0.005941,0.005941
84,26739.7,0.71508,0.81548,1.20135,0.81941,0.8264,0.89369,0.71457,0.80218,0.59325,1.25509,0.0058915,0.0058915,0.0058915
85,27059.8,0.71643,0.81401,1.20224,0.81257,0.8343,0.89404,0.71494,0.80295,0.59309,1.25504,0.005842,0.005842,0.005842
86,27375.7,0.71344,0.81353,1.19999,0.8152,0.83015,0.89415,0.71509,0.80243,0.59238,1.25403,0.0057925,0.0057925,0.0057925
87,27691.2,0.71568,0.81181,1.20084,0.81103,0.82625,0.89334,0.71529,0.80231,0.5921,1.25318,0.005743,0.005743,0.005743
88,28010.8,0.71157,0.81048,1.19854,0.81962,0.82122,0.89354,0.7154,0.80207,0.59099,1.25205,0.0056935,0.0056935,0.0056935
89,28327.1,0.71099,0.805,1.1983,0.81546,0.82395,0.89285,0.71526,0.80167,0.59031,1.25142,0.005644,0.005644,0.005644
90,28645.7,0.70867,0.8027,1.19671,0.81897,0.82627,0.89324,0.71532,0.80061,0.58999,1.25034,0.0055945,0.0055945,0.0055945
91,28962.9,0.7087,0.80051,1.1958,0.82498,0.82399,0.89354,0.71573,0.80002,0.58951,1.24995,0.005545,0.005545,0.005545
92,29278.4,0.70546,0.79894,1.19475,0.82893,0.81714,0.89373,0.7165,0.80023,0.59033,1.25015,0.0054955,0.0054955,0.0054955
93,29597.5,0.70691,0.79794,1.19616,0.83572,0.80646,0.89457,0.71652,0.79984,0.59057,1.25022,0.005446,0.005446,0.005446
